,subset,A_ref,A_metric,A_align,A_CR_pearson,A_label,B_ref,B_metric,B_align,B_CR_pearson,B_label,A_B_pearson,A_B_sign_pv,A_B_sign_level
67,both,ref+intp,bleu,one_seq,0.733119580654065,bleu ref+intp one_seq,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,0.6925249661740286,3.894662370385049e-13,0.0
68,both,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,ref+mw-intp,chrf,sent+mw,0.7340179156286448,chrf ref+mw-intp sent+mw,0.7259872051220485,1.3322676295501878e-14,0.0
69,both,ref+mw-intp,chrf,sent+mw,0.7340179156286448,chrf ref+mw-intp sent+mw,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,0.7259872051220485,1.3322676295501878e-14,0.0
70,both,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,ref,bertscore.f1,one_seq,0.752858469570867,bertscore.f1 ref one_seq,0.7024507569135594,0.0,0.0
71,both,ref,bertscore.f1,one_seq,0.752858469570867,bertscore.f1 ref one_seq,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,0.7024507569135594,0.0,0.0
72,both,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,ref+intp,bertscore.f1,one_seq,0.7557943345451409,bertscore.f1 ref+intp one_seq,0.701435842743456,0.0,0.0
73,both,ref+intp,bertscore.f1,one_seq,0.7557943345451409,bertscore.f1 ref+intp one_seq,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,0.701435842743456,0.0,0.0
74,both,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,intp,comet-da,one_seq,0.7666194865813799,comet-da intp one_seq,0.6757116892195895,0.0,0.0
75,both,intp,comet-da,one_seq,0.7666194865813799,comet-da intp one_seq,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,0.6757116892195895,0.0,0.0
76,both,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,ref+mw-intp,bertscore.f1,sent+mw,0.7669957666944904,bertscore.f1 ref+mw-intp sent+mw,0.7569810557776963,0.0,0.0
77,both,ref+mw-intp,bertscore.f1,sent+mw,0.7669957666944904,bertscore.f1 ref+mw-intp sent+mw,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,0.7569810557776963,0.0,0.0
78,both,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,ref,bertscore.f1,sent,0.7676298658254183,bertscore.f1 ref sent,0.7457061844498057,0.0,0.0
79,both,ref,bertscore.f1,sent,0.7676298658254183,bertscore.f1 ref sent,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,0.7457061844498057,0.0,0.0
80,both,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,ref+intp,comet-da,one_seq,0.7883510310112323,comet-da ref+intp one_seq,0.6925380786143442,0.0,0.0
81,both,ref+intp,comet-da,one_seq,0.7883510310112323,comet-da ref+intp one_seq,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,0.6925380786143442,0.0,0.0
82,both,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,ref,comet-da,one_seq,0.7923651239029432,comet-da ref one_seq,0.6939360934741505,0.0,0.0
83,both,ref,comet-da,one_seq,0.7923651239029432,comet-da ref one_seq,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,0.6939360934741505,0.0,0.0
